fac_vars.en,fac_vars
Party,מפלגה
Ideology,צד במפה
Ideology.Group,צד במפה קבוצה
Election,בחירות
DaysLeft,ימים עד בחירות
Date,תאריך
week,שבוע
month,חודש
year,שנה
Publisher,גוף מזמין
Pollster,גוף מבצע
Mandates,מנדטים
Mandate.Group,קב. מנדטים
Results,תוצאה
Error,סטיה
Attribute,מאפיין
